
Episode 148: steps = 199, reward = 0, avg_plan_time = 0.02916291738860309, avg_dist = 0.03322876437175932
Episode 149: steps = 21, reward = 100, avg_plan_time = 0.03558473890139298, avg_dist = 0.10242229971286068
Episode 150: steps = 35, reward = 100, avg_plan_time = 0.03214521354271306, avg_dist = 0.12421904313957872
Episode 151: steps = 199, reward = -100, avg_plan_time = 0.033583693029358985, avg_dist = 0.07263564341446994
Episode 152: steps = 199, reward = 0, avg_plan_time = 0.03366128956899047, avg_dist = 0.03418610157423215
Episode 153: steps = 19, reward = 100, avg_plan_time = 0.03520747357979417, avg_dist = 0.16228164606676357
Episode 154: steps = 27, reward = 100, avg_plan_time = 0.030760833993554115, avg_dist = 0.06926124361404347
Episode 155: steps = 199, reward = 0, avg_plan_time = 0.03237328832969069, avg_dist = 0.03784410579353654
Episode 156: steps = 23, reward = 100, avg_plan_time = 0.03326717376088103, avg_dist = 0.1246921000078196
Episode 157: steps = 26, reward = 100, avg_plan_time = 0.036521236653681156, avg_dist = 0.08922096693504426
Episode 158: steps = 16, reward = 100, avg_plan_time = 0.03229082101846442, avg_dist = 0.10286024017683404
Episode 159: steps = 24, reward = 100, avg_plan_time = 0.03429677009582519, avg_dist = 0.13865036706374495
Episode 160: steps = 199, reward = 0, avg_plan_time = 0.032323980536311865, avg_dist = 0.03162911617933108
Episode 161: steps = 20, reward = 100, avg_plan_time = 0.03195294915210633, avg_dist = 0.11493200081867119
Episode 162: steps = 21, reward = 100, avg_plan_time = 0.028765244748104702, avg_dist = 0.10774431203932293
Episode 163: steps = 199, reward = 0, avg_plan_time = 0.031187206022441388, avg_dist = 0.047711713950666645
Episode 164: steps = 199, reward = 0, avg_plan_time = 0.03328770316205919, avg_dist = 0.028975438710443932
Episode 165: steps = 199, reward = 0, avg_plan_time = 0.03348482863046229, avg_dist = 0.038902137716864
Episode 166: steps = 199, reward = 0, avg_plan_time = 0.031261521009728316, avg_dist = 0.04365068754559255
Episode 167: steps = 37, reward = 100, avg_plan_time = 0.03494491124231564, avg_dist = 0.13764224769520458
